title,description,baseImage,tags,handle
Tilia,"Duft
Et parfumelys, der udsender en kølig morgenduft med et strejf af limetræ og grøn vegetation, iblandet en eksotisk duft af appelsinblomst. Kan brænde i 40-45 timer.",http://www.refan.dk/files/products/257/b/1.jpg,,Tilia
"Sweet Temptation","Duft
Et parfumelys med en duft af røde bær - jordbær, kirsebær og hindbær. Kan brænde i 55 timer. ",http://www.refan.dk/files/products/271/b/1.jpg,,"Sweet Temptation"
"Stenlys- stor","Duft sten-jordagtig.",http://www.refan.dk/files/products/272/b/1.jpg,,"Stenlys- stor"
"Stenlys med stenform i sort og grå","tre små sorte eller grå stenformede lys, med afdæmpet let jordagtig duft.",http://www.refan.dk/files/products/267/b/1.jpg,,"Stenlys med stenform i sort og grå"
