title,description,baseImage,tags,parent,handle
Tilia,"Duft
Et parfumelys, der udsender en kølig morgenduft med et strejf af limetræ og grøn vegetation, iblandet en eksotisk duft af appelsinblomst. Kan brænde i 40-45 timer.",http://www.refan.dk/files/products/257/b/1.jpg,"Cotton, Summer, Vintage","Tilia ",tilia
"Peeling sæbe svampe (med aromaterapi)","- dette specialprodukt, som indeholder forskellige eksotiske dufte, plejer blidt huden og bringer den i en harmonisk balance. Massage -sæbesvampene er et helt nyt hygiejne-koncept  til at skabe harmoni i krop og sjæl ved hjælp af aromaterapi.
En massage-sæbesvamp til karbad og brusebad med et cremet sæbeskum ogen eksotisk duft. Sæbesvampen findes i 4 varianter.",http://www.refan.dk/files/products/395/b/1.jpg,,"Peeling sæbe svampe (med aromaterapi) ",peeling-sbe-svampe-med-aromaterapi
