name,sku,price,salePrice,tags,parent,handle,stock,img
"60 mm. cirkel",7244,"DKK 45,00", ,,"Tilia ",,"Varen er på lager",http://www.refan.dk/files/products/257/v/1767.jpg
"Sweet Temptation",7231,"DKK 110,50", ,,"Sweet Temptation ",,"Varen er ikke på lager",http://www.refan.dk/files/products/271/v/1790.jpg
"100 mm. kvadratisk",7151,"DKK 119,00", ,,"Stenlys- stor ",,"Varen er på lager",http://www.refan.dk/files/products/272/v/1791.jpg
"Lille grå",7331,"DKK 20,00", ,,"Stenlys med stenform i sort og grå ",,"Varen er på lager",http://www.refan.dk/files/products/267/v/1787.jpg
"soyalys i glas cotton clouds","Ikke angivet","DKK 75,00", ,,"soyalys i glas ",,"Varen er på lager",http://www.refan.dk/files/products/434/v/2000.jpg
"natur soyalys fleur dórange",7375,"DKK 68,50", ,,"soyalys i dåse ",,"Varen er på lager",http://www.refan.dk/files/products/435/v/1996.jpg
"50 mm. cirkel",7216,"DKK 20,00", ,,"Sort ",,"Varen er ikke på lager",http://www.refan.dk/files/products/263/v/1775.jpg
